plan_id,raw,possibility,probability,compositional,knowledge,statement
1_1,The player currently believes that box 1 contains the blue key.,none,none,0,0,The player believes that box 1 contains the blue key.
1_1,"The player currently believes that box 1 or 2 contain the blue key, but leans more towards box 1.",none,comparative,1,0,"The player believes that box 1 or 2 contain the blue key, but leans more towards box 1."
1_1,the player believe the blue key is in 1,none,none,0,0,The player believes the blue key is in box 1.
1_2,The player is sure there must be a blue key in box 3.,must,certain,0,0,The player is sure there must be a blue key in box 3.
1_2,The player believes box 3 contains a blue key,none,none,0,0,The player believes box 3 contains a blue key.
1_2,The player currently believes that the blue key is in box number 3.,none,none,0,0,The player believes that the blue key is in box number 3.
1_2,The player currently believes that box 3 is their only chance at a blue key.,none,none,1,0,The player believes that box 3 is their only chance at a blue key.
1_2,The player believes there should be a key in box 3.,should,none,0,0,The player believes that there should be a key in box 3.
1_2,box 3 has the key inside,none,none,0,0,The player believes box 3 has the key inside.
1_2,The player believes box 3 contains a blue key,none,none,0,0,The player believes that box 3 contains a blue key.
1_2,The player believes box 3 doesn't have a red key,none,none,0,0,The player believes that box 3 doesn't have a red key.
1_2,The player currently believes a blue key is found in box 3.,none,none,0,0,The player believes a blue key is found in box 3.
1_2,The player believes box 1 and 2 are empty.,none,none,1,0,The player believes that box 1 and 2 are empty.
1_2,The player believes that box 3 must have a blue key.,must,none,0,0,The player believes that box 3 must have a blue key.
1_2,The player knows that boxes 1 and 2 did not have the blue key.,none,none,1,1,The player knows that boxes 1 and 2 did not have the blue key.
1_3,The player believes the blue key is in box 1.,none,none,0,0,The player believes the blue key is in box 1.
1_3,The player believes the blue key could be in box 3.,could,none,0,0,The player believes the blue key could be in box 3.
1_3,The player currently believes that box 1 contains the blue key.,none,none,0,0,The player believes that box 1 contains the blue key.
1_3,The player currently believes that box 3 does not contain the blue key.,none,none,0,0,The player currently believes that box 3 does not contain the blue key.
1_3,The player believes there may be a key in box 1.,may,none,0,0,The player believes there may be a key in box 1.
1_3,The player believes may be a key in box 3.,may,none,0,0,The player believes there may be a key in box 3.
1_3,The player believes that the key is in box number one.,none,none,0,0,The player believes that the key is in box number one.
1_3,The player is of the belief that the third box is empty.,none,none,0,0,The player believes that the third box is empty.
