plan_id,raw,possibility,probability,compositional,knowledge,statement
1_1,The player initially believed that box 1 and 2 contained no blue key.,none,none,1,0,The player initially believed that box 1 and 2 contained no blue key.
1_1,The player initially believed that box 3 contained a blue key.,none,none,0,0,The player initially believed that box 3 contained a blue key.
1_1,the player thought that the blue key was in box 3 but its not,none,none,0,0,The player thought that the blue key was in box 3 but its not.
1_1,The player believed they key was not in box 2.,none,none,0,0,The player believed they key was not in box 2.
1_1,The player believed the key was in box 3.,none,none,0,0,The player believed the key was in box 3.
1_2,The player arguably believed box 1 would contain a blue key.,none,none,0,0,The player believed box 1 would contain a blue key.
1_2,The player likely believed box 2 would contain a blue key.,none,none,0,0,The player believed box 2 would contain a blue key.
1_2,The player initially expected to find the blue key in box 1,none,none,0,0,The player initially expected to find the blue key in box 1.
1_2,The player initially had no idea which box contained a blue key.,none,none,0,1,The player initially had no idea which box contained a blue key.
1_2,The player believed there might be a key in any of the boxes.,might,none,1,0,The player believed there might be a key in any of the boxes.
1_2,The player believed that any key they would find in a box would likely be blue.,none,likely,1,0,The player believed that any key they would find in a box would likely be blue.
1_2,The player believed box 1 had a blue key,none,none,0,0,The player believed box 1 had a blue key.
1_2,The player believed that box 2 had a blue key,none,none,0,0,The player believed that box 2 had a blue key.
1_2,The player initially believed box 1 was more likely to contain a blue key than box 2 and 3.,none,comparative,1,0,The player initially believed box 1 was more likely to contain a blue key than box 2 and 3.
1_2,The player initially believed box 3 was least likely to contain a blue key.,none,comparative,0,0,The player initially believed box 3 was least likely to contain a blue key.
1_2,The player believed the key could be in any of the boxes.,could,none,1,0,The player believed the key could be in any of the boxes.
1_2,The player believed there was an equal chance of any box having the key inside.,none,none,1,0,The player believed there was an equal chance of any box having the key inside.
1_2,The player believed that one of the boxes had a blue key.,none,none,1,0,The player believed that one of the boxes had a blue key.
1_2,The player believed that box 1 might have the blue key.,might,none,0,0,The player believed that box 1 might have the blue key.
1_3,The player initially thought the blue key was in box 2.,none,none,0,0,The player initially thought the blue key was in box 2.
1_3,The player initially believed the blue key was in box 1.,none,none,0,0,The player initially believed the blue key was in box 1.
1_3,The player initially believed that box 2 contained a blue key.,none,none,0,0,The player initially believed that box 2 contained a blue key.
1_3,The player initially had no idea which box contained the blue key.,none,none,0,1,The player initially had no idea which box contained the blue key.
1_3,The player initially believed that box 2 or 1 contained the blue key.,none,none,1,0,The player initially believed that box 2 or 1 contained the blue key.
1_3,The player thought that there may have been a key in box 2.,may,none,0,0,The player thought that there may have been a key in box 2.
