plan_id,statement_id,statement,possibility,probability,compositional,knowledge
1_1,1,The player believes the blue key is in box 1.,none,none,0,0
1_1,2,The player is sure there must be a blue key in box 3.,must,certain,0,0
1_1,3,"The player believes that box 1 or 2 contain the blue key, but leans more towards box 1.",none,comparative,1,0
1_1,4,The player thinks that box 1 is empty.,none,none,0,0
1_1,5,The player believes that box 1 contains the blue key.,none,none,0,0
1_2,1,The player is sure there must be a blue key in box 3.,must,certain,0,0
1_2,2,The player knows that boxes 1 and 2 did not have the blue key.,none,none,1,1
1_2,3,The player believes that the blue key is in box number 3.,none,none,0,0
1_2,4,The player believes that box 3 is more likely to contain a red key than box 1.,none,comparative,1,0
1_2,5,The player believes that box 3 is empty.,none,none,0,0
1_3,1,The player thinks that box 1 is empty.,none,none,0,0
1_3,2,The player is uncertain about the contents of box 3.,none,uncertain,0,0
1_3,3,The player believes that box 2 is empty.,none,none,0,0
1_3,4,"The player believes that if box 1 does not have a blue key, then box 3 has a blue key.",none,none,0,0
1_3,5,The player believes there may be a key in box 1.,may,none,0,0
2_1,1,The player knows that box 1 does not have the blue key.,might,none,0,1
2_1,2,The player believes if the red key is not in box 2 then it must be in box 3.,might',none,0,0
2_1,3,The player believes that box 2 has a key.,must,none,0,0
2_1,4,The player believes box 2 might hold a red key.,none,none,0,0
2_1,5,The player knows that box 2 is empty.,none,none,0,1
2_2,1,The player thinks that box 1 is empty.,none,none,0,0
2_2,2,The player believes that box 3 is empty.,none,none,0,0
2_2,3,The player thinks that box 1 is empty.,none,none,0,0
2_2,4,The player believes that box 3 may contain a red key.,none,none,0,0
2_2,5,The player believes that box 3 is more likely to contain a red key than box 1.,none,comparative,1,0
2_3,1,The player believes that box 2 may contain the red key.,none,none,0,0
2_3,2,The player believes that box 2 is empty.,none,none,0,0
2_3,3,The player thinks that boxes 2 and 3 might or might not contain a red key.,none,none,1,0
2_3,4,The player believes the red key is in box 2.,may,none,0,0
2_3,5,The player thinks that there's more likely to be a red key in box 1 or 3 than box 2.,none,comparative,1,0
3_1,1,The player believes box 2 is least likely to hold the blue key.,none,comparative,0,0
3_1,2,The player believes that box 3 holds the blue key.,none,none,0,0
3_1,3,The player knows box 3 contains a blue key.,none,none,0,1
3_1,4,The player thinks that box 1 is empty.,none,none,0,0
3_1,5,The player knows that box 2 is empty.,none,none,0,1
3_2,1,The player believes that box 2 may contain the red key.,none,none,0,0
3_2,2,The player believes the red key is in box 2.,may,none,0,0
3_2,3,The player does not know which box contains a red key.,none,none,0,1
3_2,4,The player believes that box 3 may contain a red key.,none,none,0,0
3_2,5,The player believes that box 1 might have a red key.,might,none,0,0
3_3,1,The player knows that box 1 does not have the blue key.,might,none,0,1
3_3,2,The player thinks that box 1 is empty.,none,none,0,0
3_3,3,The player is unsure whether the blue key is in box 3 or 1.,none,uncertain,1,0
3_3,4,The player believes that box 3 will either be empty or have a blue key.,none,none,1,0
3_3,5,The player believes the red key is in box 2.,may,none,0,0
4_1,1,The player believes box 1 is more likely to contain a red key than box 2.,none,comparative,1,0
4_1,2,The player believes that box 3 may contain a red key.,none,none,0,0
