statement,gold_elot,gold_lowered
The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))"
The player is sure there must be a blue key in box 3.,"certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(must))"
"The player believes that box 1 or 2 contain the blue key, but leans more towards box 1.","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))) ","and(>=(prob_of(player, or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(believes)), >(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))"
The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))"
The player believes that box 1 contains the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))"
The player knows that boxes 1 and 2 did not have the blue key.,"knows_that(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) ","and(>=(prob_of(player, and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))), threshold(believes)), and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))"
The player believes that the blue key is in box number 3.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))"
The player believes that box 3 is more likely to contain a red key than box 1.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box3)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
The player believes that box 3 is empty.,"believes(player, formula(empty(box3))) ",">=(prob_of(player, empty(box3)), threshold(believes))"
The player is uncertain about the contents of box 3.,"uncertain_about(player, color(C), exists(and(key(K), inside(K, box3)), iscolor(K, C))) ","forall(color(C), <(prob_of(player, exists(and(key(K), inside(K, box3)), iscolor(K, C))), threshold(uncertain)))"
The player believes that box 2 is empty.,"believes(player, formula(empty(box2))) ",">=(prob_of(player, empty(box2)), threshold(believes))"
"The player believes that if box 1 does not have a blue key, then box 3 has a blue key.","believes(player, formula(imply(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), exists(and(key(K), iscolor(K, blue)), inside(K, box3))))) ",">=(prob_of(player, imply(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))), threshold(believes))"
The player believes there may be a key in box 1.,"believes(player, may(exists(key(K), inside(K, box1)))) ",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(may))"
The player knows that box 1 does not have the blue key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))) ","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
The player believes if the red key is not in box 2 then it must be in box 3.,"believes(player, formula(imply(not(exists(and(key(K), iscolor(K, red)), inside(K, box2))), exists(and(key(K), iscolor(K, red)), inside(K, box3))))) ",">=(prob_of(player, imply(not(exists(and(key(K), iscolor(K, red)), inside(K, box2))), exists(and(key(K), iscolor(K, red)), inside(K, box3)))), threshold(believes))"
The player believes that box 2 has a key.,"believes(player, formula(exists(key(K), inside(K, box2)))) ",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(believes))"
The player believes box 2 might hold a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))"
The player knows that box 2 is empty.,"knows_that(player, formula(empty(box2))) ","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))"
