plan_id,statement_id,statement,gold_elot,gold_lowered,translation_elot,translation_lowered,elot_correct,elot_equiv
1_1,1,The player initially believed that box 3 contained a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))",TRUE,TRUE
1_1,2,The player initially believed that box 1 and 2 contained no blue key.,"believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) ",">=(prob_of(player, and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))), threshold(believes))","believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))))","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(b",TRUE,TRUE
1_1,3,The player initially believed that box 1 might have the blue key.,"believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(might)), or(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(must)), >=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1",TRUE,TRUE
1_1,4,The player initially believed the blue key was not in box 2.,"believes(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))) ",">=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(believes))","believes(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))",TRUE,TRUE
1_1,5,The player initially thought that there may have been a key in box 2.,"believes(player, may(exists(key(K), inside(K, box2)))) ",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(may))","believes(player, may(exists(key(K), inside(K, box2))))","and(not(>=(prob_of(player, exists(key(K), inside(K, box2))), threshold(certain))), or(<(prob_of(player, exists(key(K), inside(K, box2))), threshold(might)), <(prob_of(player, exists(key(K), inside(K, box2))), threshold(likely)), <(prob_of(player, exists(key(K), inside(K, box2))),",TRUE,TRUE
1_2,1,The player initially believed that box 3 contained a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))",TRUE,TRUE
1_2,2,The player initially believed that box 1 might have the blue key.,"believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(might)), or(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(must)), >=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1",TRUE,TRUE
1_2,3,The player initially had no idea which box contained a blue key.,"not_knows_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B))) ","forall(box(B), or(<(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, B))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, B)))))","not_knows_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))","and(or(<(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(certain)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), or(<(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), threshold(certain)), not(exists(and",TRUE,TRUE
1_2,4,The player initially believed that 1 of the boxes had a blue key.,"believes(player, formula(exists(and(box(B), key(K), iscolor(K, blue)), inside(K, B)))) ",">=(prob_of(player, exists(and(box(B), key(K), iscolor(K, blue)), inside(K, B))), threshold(believes))","believes(player, may(exists(key(K), or(inside(K, box1), inside(K, box2), inside(K, box3)))), formula(and(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))))","exists(box(B), and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, B))), threshold(believes)), exists(and(key(K), iscolor(K, blue)), inside(K, B))))",FALSE,FALSE
1_2,5,The player initially believed that box 1 and 2 contained no blue key.,"believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) ",">=(prob_of(player, and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))), threshold(believes))","believes(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))))","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(b",TRUE,TRUE
1_3,1,The player initially believed that box 2 contained a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), threshold(believes))",TRUE,TRUE
1_3,2,The player initially believed that the first box is empty and held no key.,"believes(player, formula(and(empty(box1), not(exists(key(K), inside(K, box1)))))) ",">=(prob_of(player, and(empty(box1), not(exists(key(K), inside(K, box1))))), threshold(believes))","believes(player, formula(and(empty(box1), not(exists(key(K), inside(K, box1))))))","not(>=(prob_of(player, and(empty(box1), not(exists(key(K), inside(K, box1))))), threshold(believes)))",TRUE,TRUE
